ISO,NAM,FAMILY,Class2,Class3,Ethnologue classification (if applicable)
aes,Alsea,Oregon Penutian,,,"Penutian, Oregon Penutian, Coast Oregon, Yakonan"
nci,"Nahuatl, Classical",Uto-Aztecan,,,"Uto-Aztecan, Southern Uto-Aztecan, Aztecan, General Aztec, Aztec"
tkm,Takelma,Oregon Penutian,,,"Penutian, Oregon Penutian, Takelma"
tpn,Tupinamba,Tupi,,,"Tupi, Tupi-Guarani, Subgroup III"
areg,Ancient Egyptian,Afro-Asiatic,,,Semitic
chb,Chibcha,Chibchan,Chibchan B,Eastern Chibchan,Chibchan
gnc,Guanche,Afro-Asiatic,,,Berber
tjm,Timucua,Unclassified,,,Unclassified
xcw,Coahuilteco,Language isolate,,,Language isolate
xgf,Gabrielino-Fernandeño,Uto-Aztecan,Northern Uto-Aztecan,Takic,Uto-Aztecan
xtz,Tasmanian,Unclassified,,,Unclassified
ynn,Yana,Language isolate,,,Language isolate
zkk,Karankawa,Language isolate,,,Language isolate
q9j,Calusa,Language isolate,,,
064,Chono,Language isolate,,,
zku,Kaurna,Pama-Nyungan,,,
0hq,Bunwurrung,Pama-Nyungan,,,
qjg,Guaicura,Unclassified,,,